severity,id,title,events_total,successful,denied,first,last,regions,top_ips,why
CRITICAL,NEWKEY_USED,Key created mid-incident has already been used,14,13,1,2026-03-14T10:05:14Z,2026-03-14T10:13:15Z,eu-west-1 ap-southeast-1 us-west-2 us-east-1,198.51.100.77,The attacker switched to their own key. Revoking the original key achieves nothing.
CRITICAL,PERSIST,IAM persistence in the account,3,3,0,2026-03-14T08:02:46Z,2026-03-14T08:04:00Z,us-east-1,198.51.100.23,"Independent access that survives revoking the original key. Until it is cleaned up, the account is compromised."
CRITICAL,ANTIFOREN,Anti-forensics (logging/detection tampering),1,0,1,2026-03-14T08:04:37Z,2026-03-14T08:04:37Z,us-east-1,198.51.100.23,Deliberate covering of tracks. Anything that happened after this may not have been logged.
CRITICAL,SECRETS,Access to secrets and credentials,1,0,1,2026-03-14T02:14:47Z,2026-03-14T02:14:47Z,us-east-1,203.0.113.10,"If these succeeded, the compromise extends beyond AWS. Treat everything stored there as leaked."
HIGH,LLMJACK,Bedrock / ML abuse (LLMjacking),25,21,4,2026-03-14T07:16:24Z,2026-03-14T07:22:09Z,us-east-1 us-west-2,198.51.100.23,"Resale of model access. The bill grows fast and quietly, and no resources show up in the console."
HIGH,COMPUTE,Compute launches (cryptomining),3,3,0,2026-03-14T10:07:05Z,2026-03-14T10:12:01Z,eu-west-1 ap-southeast-1 us-west-2,198.51.100.77,The main driver of the bill. Check instance types and regions in the detail column.
HIGH,MAIL,Mail/messaging abuse (SES/SNS),2,1,1,2026-03-14T10:12:38Z,2026-03-14T10:13:15Z,us-east-1,198.51.100.77,"Spam/phishing sent in the company's name. Beyond the money, this hurts domain reputation and can get it blocklisted."
HIGH,CONSOLE,Web console sign-in,1,0,1,2026-03-14T10:13:52Z,2026-03-14T10:13:52Z,us-east-1,192.0.2.55,"If the sign-in succeeded, the attacker had a password or a federation token, not just an API key."
HIGH,LLMJACK,Bedrock calls,1,1,0,2026-03-14T07:18:15Z,2026-03-14T07:18:15Z,us-east-1,198.51.100.23,Any Bedrock activity on a compromised key is abuse until proven otherwise.
MEDIUM,FANOUT,Activity spread across 5 regions,81,0,0,,,us-east-1 us-west-2 eu-west-1 ap-southeast-1 eu-central-1,,Fanning out across regions is a signature of automated abuse. A region-restricting SCP cuts it off.
MEDIUM,ENUM,Mass permission denials (permission brute-forcing),40,0,40,2026-03-14T02:13:33Z,2026-03-14T10:13:52Z,us-east-1 us-west-2 eu-west-1 eu-central-1 ap-southeast-1,203.0.113.10 198.51.100.23 198.51.100.77 192.0.2.55,Looks like automated probing of available APIs. The attempted calls show what they were after.
MEDIUM,AUTOMATION,"Non-interactive clients (scripts, not console/CLI)",36,3,33,2026-03-14T02:11:42Z,2026-03-14T02:15:47Z,us-east-1 us-west-2 eu-west-1 eu-central-1 ap-southeast-1,203.0.113.10,This User-Agent does not come from normal work by the company's people or services.
MEDIUM,QUOTA,Quota increase requests,6,6,0,2026-03-14T10:05:14Z,2026-03-14T10:10:47Z,eu-west-1 ap-southeast-1 us-west-2,198.51.100.77,Asking for higher limits means they hit the ceiling and wanted to burn more.
MEDIUM,NETWORK,Network and access changes,3,3,0,2026-03-14T10:06:28Z,2026-03-14T10:11:24Z,eu-west-1 ap-southeast-1 us-west-2,198.51.100.77,Look for 0.0.0.0/0 and for peering into foreign VPCs.
LOW,RECON,Environment reconnaissance,10,3,7,2026-03-14T02:11:42Z,2026-03-14T02:15:45Z,us-east-1 us-west-2 eu-west-1 eu-central-1 ap-southeast-1,203.0.113.10,"Initial reconnaissance. Its makeup identifies the tool, and its timing establishes T0."
