time,region,service,event,principal,itype,access_key,src_ip,error,detail,user_agent,errmsg,event_id
2026-03-14T02:11:42Z,us-east-1,sts,GetCallerIdentity,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,,,python-requests/2.31.0,,11111111-0000-4000-8000-000000000001
2026-03-14T02:12:19Z,us-east-1,s3,ListBuckets,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,,,python-requests/2.31.0,,11111111-0000-4000-8000-000000000002
2026-03-14T02:12:56Z,us-east-1,iam,ListUsers,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,,,python-requests/2.31.0,,11111111-0000-4000-8000-000000000003
2026-03-14T02:13:33Z,us-east-1,iam,GetAccountAuthorizationDetails,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,python-requests/2.31.0,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: GetAccountAuthorizationDetails,11111111-0000-4000-8000-000000000004
2026-03-14T02:14:10Z,us-east-1,secretsmanager,ListSecrets,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDeniedException,,python-requests/2.31.0,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListSecrets,11111111-0000-4000-8000-000000000005
2026-03-14T02:14:47Z,us-east-1,secretsmanager,GetSecretValue,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDeniedException,prod/db,python-requests/2.31.0,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: GetSecretValue,11111111-0000-4000-8000-000000000006
2026-03-14T02:14:49Z,us-east-1,ec2,DescribeInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeInstances,11111111-0000-4000-8000-000000000007
2026-03-14T02:14:51Z,us-east-1,lambda,ListFunctions20150331,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListFunctions20150331,11111111-0000-4000-8000-000000000008
2026-03-14T02:14:53Z,us-east-1,rds,DescribeDBInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeDBInstances,11111111-0000-4000-8000-000000000009
2026-03-14T02:14:55Z,us-east-1,ecs,ListClusters,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListClusters,11111111-0000-4000-8000-000000000010
2026-03-14T02:14:57Z,us-east-1,cloudtrail,DescribeTrails,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeTrails,11111111-0000-4000-8000-000000000011
2026-03-14T02:14:59Z,us-east-1,ses,GetSendQuota,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: GetSendQuota,11111111-0000-4000-8000-000000000012
2026-03-14T02:15:01Z,us-west-2,ec2,DescribeInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeInstances,11111111-0000-4000-8000-000000000013
2026-03-14T02:15:03Z,us-west-2,lambda,ListFunctions20150331,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListFunctions20150331,11111111-0000-4000-8000-000000000014
2026-03-14T02:15:05Z,us-west-2,rds,DescribeDBInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeDBInstances,11111111-0000-4000-8000-000000000015
2026-03-14T02:15:07Z,us-west-2,ecs,ListClusters,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListClusters,11111111-0000-4000-8000-000000000016
2026-03-14T02:15:09Z,us-west-2,cloudtrail,DescribeTrails,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeTrails,11111111-0000-4000-8000-000000000017
2026-03-14T02:15:11Z,us-west-2,ses,GetSendQuota,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: GetSendQuota,11111111-0000-4000-8000-000000000018
2026-03-14T02:15:13Z,eu-west-1,ec2,DescribeInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeInstances,11111111-0000-4000-8000-000000000019
2026-03-14T02:15:15Z,eu-west-1,lambda,ListFunctions20150331,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListFunctions20150331,11111111-0000-4000-8000-000000000020
2026-03-14T02:15:17Z,eu-west-1,rds,DescribeDBInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeDBInstances,11111111-0000-4000-8000-000000000021
2026-03-14T02:15:19Z,eu-west-1,ecs,ListClusters,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListClusters,11111111-0000-4000-8000-000000000022
2026-03-14T02:15:21Z,eu-west-1,cloudtrail,DescribeTrails,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeTrails,11111111-0000-4000-8000-000000000023
2026-03-14T02:15:23Z,eu-west-1,ses,GetSendQuota,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: GetSendQuota,11111111-0000-4000-8000-000000000024
2026-03-14T02:15:25Z,eu-central-1,ec2,DescribeInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeInstances,11111111-0000-4000-8000-000000000025
2026-03-14T02:15:27Z,eu-central-1,lambda,ListFunctions20150331,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListFunctions20150331,11111111-0000-4000-8000-000000000026
2026-03-14T02:15:29Z,eu-central-1,rds,DescribeDBInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeDBInstances,11111111-0000-4000-8000-000000000027
2026-03-14T02:15:31Z,eu-central-1,ecs,ListClusters,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListClusters,11111111-0000-4000-8000-000000000028
2026-03-14T02:15:33Z,eu-central-1,cloudtrail,DescribeTrails,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeTrails,11111111-0000-4000-8000-000000000029
2026-03-14T02:15:35Z,eu-central-1,ses,GetSendQuota,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: GetSendQuota,11111111-0000-4000-8000-000000000030
2026-03-14T02:15:37Z,ap-southeast-1,ec2,DescribeInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeInstances,11111111-0000-4000-8000-000000000031
2026-03-14T02:15:39Z,ap-southeast-1,lambda,ListFunctions20150331,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListFunctions20150331,11111111-0000-4000-8000-000000000032
2026-03-14T02:15:41Z,ap-southeast-1,rds,DescribeDBInstances,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeDBInstances,11111111-0000-4000-8000-000000000033
2026-03-14T02:15:43Z,ap-southeast-1,ecs,ListClusters,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: ListClusters,11111111-0000-4000-8000-000000000034
